District,Total_cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases
Unknown, 3334 , 3334 , 4 , 0 , 13 , 3317 
Ahmednagar, 56 ,0, 2 , 0 , 8 , 46 
Akola, 69 ,0, 7 , 0 , 18 , 44 
Amravati, 44 ,0, 6 , 0 , 10 , 28 
Aurangabad, 93 ,0, 20 , 0 , 15 , 58 
Beed, 5 ,0, 0 , 0 , 0 , 5 
Bhandara, 5 ,0, 0 , 0 , 1 , 4 
Buldhana, 44 ,0, 1 , 0 , 11 , 32 
Chandrapur, 8 ,0, 0 , 0 , 1 , 7 
Dhule, 36 ,0, 3 , 0 , 12 , 21 
Gadchiroli, 5 ,0, 0 , 0 , 0 , 5 
Gondia, 4 ,0, 0 , 0 , 0 , 4 
Hingoli, 33 ,0, 0 , 0 , 10 , 23 
Jalgaon, 53 ,0, 12 , 0 , 13 , 28 
Jalna, 22 ,0, 0 , 0 , 6 , 16 
Kolhapur, 29 ,0, 1 , 0 , 4 , 24 
Latur, 27 ,0, 1 , 0 , 5 , 21 
Mumbai, 3227 ,0, 33 , 0 , 26 , 3168 
Nagpur, 131 ,0, 4 , 0 , 20 , 107 
Nanded, 29 ,0, 5 , 0 , 7 , 17 
Nandurbar, 18 ,0, 1 , 0 , 5 , 12 
Nashik, 111 ,0, 8 , 0 , 15 , 88 
Osmanabad, 11 ,0, 0 , 0 , 1 , 10 
Other State, 22 ,0, 9 , 0 , 0 , 13 
Palghar, 142 ,0, 8 , 0 , 20 , 114 
Parbhani, 12 ,0, 1 , 0 , 1 , 10 
Pune, 781 ,0, 36 , 0 , 29 , 716 
Raigad, 93 ,0, 7 , 0 , 16 , 70 
Ratnagiri, 33 ,0, 2 , 0 , 5 , 26 
Sangli, 53 ,0, 0 , 0 , 9 , 44 
Satara, 54 ,0, 2 , 0 , 20 , 32 
Sindhudurg, 15 ,0, 2 , 0 , 3 , 10 
Solapur, 73 ,0, 14 , 0 , 13 , 46 
Thane, 466 ,0, 17 , 0 , 23 , 426 
Wardha, 4 ,0, 1 , 0 , 0 , 3 
Washim, 10 ,0, 0 , 0 , 4 , 6 
Yavatmal, 39 ,0, 0 , 0 , 8 , 31 
